Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Richterswil;8805;00;Richterswil;138;ZH;8.695921440607195;47.20812144826804;de;2008-07-01
Samstagern;8833;00;Richterswil;138;ZH;8.679482061700725;47.19379004861947;de;2008-07-01
Rüschlikon;8803;00;Rüschlikon;139;ZH;8.547617515036196;47.30461451063376;de;2008-07-01
Gattikon;8136;00;Thalwil;141;ZH;8.553091141244845;47.278218772553416;de;2008-07-01
Thalwil;8800;00;Thalwil;141;ZH;8.56376162360339;47.28873242213819;de;2008-07-01
Erlenbach ZH;8703;00;Erlenbach (ZH);151;ZH;8.599185223702392;47.30399176524681;de;2008-07-01
Erlenbach ZH;8703;00;Herrliberg;152;ZH;8.604055719037081;47.29369122415506;de;2008-07-01
Herrliberg;8704;00;Herrliberg;152;ZH;8.629232097557102;47.29678536707947;de;2008-07-01
Grüningen;8627;00;Hombrechtikon;153;ZH;8.778993972638219;47.26494967906463;de;2008-07-01
Hombrechtikon;8634;00;Hombrechtikon;153;ZH;8.765860940465753;47.255189045603046;de;2008-07-01
Feldbach;8714;00;Hombrechtikon;153;ZH;8.785545257495945;47.24163170272898;de;2008-07-01
Forch;8127;00;Küsnacht (ZH);154;ZH;8.648898967322229;47.32237372261016;de;2008-07-01
Küsnacht ZH;8700;00;Küsnacht (ZH);154;ZH;8.596214107948148;47.32144721085619;de;2008-07-01
Oetwil am See;8618;00;Männedorf;155;ZH;8.71219609203588;47.26563669055824;de;2008-07-01
Männedorf;8708;00;Männedorf;155;ZH;8.696781921728514;47.26118103384246;de;2008-07-01
Meilen;8706;00;Meilen;156;ZH;8.646048603758015;47.281459884262006;de;2008-07-01
Oetwil am See;8618;00;Oetwil am See;157;ZH;8.718220715060228;47.274596867600614;de;2008-07-01
Hombrechtikon;8634;00;Stäfa;158;ZH;8.755556677797596;47.24288219812934;de;2008-07-01
Stäfa;8712;00;Stäfa;158;ZH;8.728813214982456;47.24925618351439;de;2008-07-01
Uerikon;8713;00;Stäfa;158;ZH;8.757457980119572;47.23790288653983;de;2008-07-01
Uetikon am See;8707;00;Uetikon am See;159;ZH;8.682268674648183;47.271203207776374;de;2008-07-01
Zumikon;8126;00;Zumikon;160;ZH;8.625842113564165;47.33589625763659;de;2008-07-01
Zollikerberg;8125;00;Zollikon;161;ZH;8.608221655507828;47.34465242880699;de;2008-07-01
Zollikon;8702;00;Zollikon;161;ZH;8.58067736420912;47.34154943279698;de;2008-07-01
Illnau;8308;00;Fehraltorf;172;ZH;8.74731700610759;47.40428323876106;de;2008-07-01
Fehraltorf;8320;00;Fehraltorf;172;ZH;8.750521186564521;47.38740527066009;de;2008-07-01
Hittnau;8335;00;Hittnau;173;ZH;8.829818323425274;47.36722786512206;de;2008-07-01
Kemptthal;8310;00;Lindau;176;ZH;8.703725885204477;47.44887298628263;de;2008-07-01
Grafstal;8310;01;Lindau;176;ZH;8.697431277755316;47.44428630048714;de;2008-07-01
Winterberg ZH;8312;00;Lindau;176;ZH;8.690739154922234;47.45711103677532;de;2008-07-01
Lindau;8315;00;Lindau;176;ZH;8.67737546629563;47.443628650685454;de;2008-07-01
Tagelswangen;8317;00;Lindau;176;ZH;8.669009149987346;47.426760657302616;de;2008-07-01
Pfäffikon ZH;8330;00;Pfäffikon;177;ZH;8.796360148530251;47.36690541385305;de;2008-07-01
Auslikon;8331;00;Pfäffikon;177;ZH;8.809399316576439;47.34639779427005;de;2008-07-01
Wetzikon ZH;8623;00;Pfäffikon;177;ZH;8.815556157335882;47.33816854219868;de;2008-07-01
Madetswil;8322;00;Russikon;178;ZH;8.793747217684132;47.41220572649626;de;2008-07-01
Gündisau;8322;02;Russikon;178;ZH;8.805382075312885;47.39830675317356;de;2011-05-01
Russikon;8332;00;Russikon;178;ZH;8.783096174105102;47.39531415291132;de;2008-07-01
Rumlikon;8332;02;Russikon;178;ZH;8.761819469861646;47.40836875590548;de;2011-05-01
Agasul;8308;02;Weisslingen;180;ZH;8.746811360700905;47.42682371936285;de;2008-07-01
Weisslingen;8484;00;Weisslingen;180;ZH;8.772611633785939;47.43536150476381;de;2008-07-01
Neschwil;8484;02;Weisslingen;180;ZH;8.794576554967309;47.427182058967176;de;2008-07-01
Theilingen;8484;03;Weisslingen;180;ZH;8.764892935417238;47.417397037673;de;2008-07-01
Rikon im Tösstal;8486;00;Weisslingen;180;ZH;8.786795145960657;47.44801656103069;de;2008-07-01
Wila;8492;00;Wila;181;ZH;8.86738027338633;47.40055757608764;de;2008-07-01
Saland;8493;00;Wila;181;ZH;8.858048552234354;47.39684371356061;de;2008-07-01
Madetswil;8322;00;Wildberg;182;ZH;8.804743035030148;47.41852051780703;de;2008-07-01
Turbenthal;8488;00;Wildberg;182;ZH;8.83155023147992;47.43903088074086;de;2008-07-01
Wildberg;8489;00;Wildberg;182;ZH;8.819649743635983;47.42747418621077;de;2008-07-01
Schalchen;8489;01;Wildberg;182;ZH;8.833425319663549;47.40555222966793;de;2016-03-01
Ehrikon;8489;02;Wildberg;182;ZH;8.812074009308118;47.416354438556816;de;2016-03-01
Gockhausen;8044;01;Dübendorf;191;ZH;8.604425594962677;47.37846195877432;de;2008-07-01
Zürich;8051;00;Dübendorf;191;ZH;8.589022233538214;47.39350648868638;de;2008-07-01
Dübendorf;8600;00;Dübendorf;191;ZH;8.620954342534073;47.39276766946627;de;2008-07-01
Schwerzenbach;8603;00;Dübendorf;191;ZH;8.64633640757447;47.386465097307024;de;2008-07-01
Forch;8127;00;Egg;192;ZH;8.662024467745791;47.30566472157078;de;2008-07-01
Egg b. Zürich;8132;00;Egg;192;ZH;8.687626144465908;47.292730281152565;de;2008-07-01
Hinteregg;8132;02;Egg;192;ZH;8.68454745637423;47.31108208631799;de;2008-07-01
Esslingen;8133;00;Egg;192;ZH;8.71608499780849;47.28923246756626;de;2008-07-01
Fällanden;8117;00;Fällanden;193;ZH;8.640855565389785;47.37038006155513;de;2008-07-01
Pfaffhausen;8118;00;Fällanden;193;ZH;8.625834124661168;47.36607663190089;de;2008-07-01
Benglen;8121;00;Fällanden;193;ZH;8.63674592569536;47.36120864751995;de;2008-07-01
Greifensee;8606;02;Greifensee;194;ZH;8.679781041537124;47.366179576480306;de;2008-07-01
Binz;8122;00;Maur;195;ZH;8.627147541982996;47.35668861796436;de;2008-07-01
Ebmatingen;8123;00;Maur;195;ZH;8.63942801608724;47.35139600669966;de;2008-07-01
Maur;8124;00;Maur;195;ZH;8.670572255105666;47.332520043745795;de;2008-07-01
Forch;8127;00;Maur;195;ZH;8.654119906768903;47.33460745806381;de;2008-07-01
Hinteregg;8132;02;Maur;195;ZH;8.683362328032514;47.316977469112565;de;2008-07-01
Aathal-Seegräben;8607;00;Mönchaltorf;196;ZH;8.75853552974146;47.32856278129145;de;2008-07-01
Mönchaltorf;8617;00;Mönchaltorf;196;ZH;8.719472780151104;47.31230659304122;de;2008-07-01
Dübendorf;8600;00;Schwerzenbach;197;ZH;8.650132553165179;47.39097001075345;de;2008-07-01
Schwerzenbach;8603;00;Schwerzenbach;197;ZH;8.656313473813086;47.38236042212296;de;2008-07-01
Gutenswil;8605;00;Uster;198;ZH;8.714673455363972;47.376794578934714;de;2008-07-01
Nänikon;8606;00;Uster;198;ZH;8.692812632645408;47.37136553350246;de;2008-07-01
Uster;8610;00;Uster;198;ZH;8.72271709385021;47.35275023170242;de;2008-07-01
Sulzbach;8614;02;Uster;198;ZH;8.746736156596292;47.32724668257599;de;2008-07-01
Wermatswil;8615;00;Uster;198;ZH;8.740617898474955;47.365909147993015;de;2008-07-01
Freudwil;8615;02;Uster;198;ZH;8.732563652528066;47.376688195604316;de;2008-07-01
Riedikon;8616;00;Uster;198;ZH;8.710460234538418;47.3289292464586;de;2008-07-01
Mönchaltorf;8617;00;Uster;198;ZH;8.735766530096637;47.32693521419452;de;2008-07-01
Effretikon;8307;00;Volketswil;199;ZH;8.682460581761799;47.411830445823014;de;2008-07-01
Volketswil;8604;00;Volketswil;199;ZH;8.68195881649965;47.39486434100842;de;2008-07-01
Gutenswil;8605;00;Volketswil;199;ZH;8.717574035705564;47.38651767230231;de;2008-07-01
Brüttisellen;8306;00;Wangen-Brüttisellen;200;ZH;8.63573182643173;47.42219889599802;de;2008-07-01
Wangen b. Dübendorf;8602;00;Wangen-Brüttisellen;200;ZH;8.649409648742013;47.409326553242494;de;2008-07-01
Altikon;8479;00;Altikon;211;ZH;8.78448757924948;47.578213067398146;de;2008-07-01
Brütten;8311;00;Brütten;213;ZH;8.675184951643296;47.47523253848666;de;2008-07-01
Rutschwil (Dägerlen);8471;00;Dägerlen;214;ZH;8.732785548725559;47.55627971713863;de;2008-07-01
Dägerlen;8471;02;Dägerlen;214;ZH;8.716605325590713;47.561364460874124;de;2008-07-01
Oberwil (Dägerlen);8471;03;Dägerlen;214;ZH;8.714650032007897;47.571311977025815;de;2008-07-01
Berg (Dägerlen);8471;04;Dägerlen;214;ZH;8.733289554619292;47.5666014708464;de;2008-07-01
Bänk (Dägerlen);8471;05;Dägerlen;214;ZH;8.73867130276112;47.54890921052073;de;2008-07-01
Dättlikon;8421;00;Dättlikon;215;ZH;8.62352317103013;47.52858201707362;de;2008-07-01
Dinhard;8474;00;Dinhard;216;ZH;8.765165363581337;47.5591249763283;de;2008-07-01
Ellikon an der Thur;8548;00;Ellikon an der Thur;218;ZH;8.82722043969048;47.56245731586824;de;2008-07-01
Elsau;8352;00;Elsau;219;ZH;8.804811911350175;47.502242148833055;de;2008-07-01
Gerlikon;8500;04;Hagenbuch;220;ZH;8.87550858812662;47.52769445953046;de;2008-07-01
Hagenbuch ZH;8523;00;Hagenbuch;220;ZH;8.874054485385914;47.51464240549979;de;2008-07-01
Hettlingen;8442;00;Hettlingen;221;ZH;8.710725043704274;47.54810659504092;de;2008-07-01
Aesch (Neftenbach);8412;00;Neftenbach;223;ZH;8.677500146589574;47.544651360135546;de;2008-07-01
Riet (Neftenbach);8412;01;Neftenbach;223;ZH;8.689065993896163;47.537188260593524;de;2008-07-01
Hünikon (Neftenbach);8412;02;Neftenbach;223;ZH;8.663382714177114;47.553776482031424;de;2008-07-01
Neftenbach;8413;00;Neftenbach;223;ZH;8.663295371208447;47.53145182880146;de;2008-07-01
